Incident Number,Incident Number, Date & Time Occurred, Offense Description, Location, Offense Category, Incident Type, Victim Age, Victim Gender, Victim Race, Suspect Name, Suspect Age, Suspect Gender, Suspect Race
1,20,0,0,0,0,0,0,0,2,0,0,0,0
2,23,0,0,0,0,0,0,2,0,0,0,0,0
3,20,0,0,0,0,0,0,0,1,0,0,0,0
4,22,0,0,0,0,0,0,2,1,0,0,0,0
5,22,0,0,0,0,0,1,2,0,0,0,0,0
6,21,0,0,0,0,0,0,1,0,0,0,0,0
7,21,0,0,0,0,0,2,3,1,0,0,0,0
8,20,0,0,0,0,0,0,1,0,0,0,0,0
9,21,0,0,0,0,0,1,0,1,0,0,0,0
10,21,0,0,0,0,0,1,2,0,0,0,0,0
11,22,0,0,0,0,0,1,0,0,0,0,0,0
12,21,0,0,0,0,0,1,2,1,0,0,0,0
13,23,0,0,0,0,0,1,2,0,0,1,0,0
14,23,0,0,0,0,0,1,2,1,0,0,0,0
15,22,0,0,0,0,0,1,0,0,0,0,0,0
16,20,0,0,0,0,0,0,0,0,0,0,0,0
17,21,0,0,0,0,0,0,0,0,0,0,0,0
18,22,0,0,0,0,0,0,0,1,0,0,0,0
19,21,0,0,0,0,0,0,1,1,0,0,0,0
20,23,0,0,0,0,0,0,2,0,0,1,0,0
21,23,0,0,0,0,0,3,0,0,0,0,0,0
22,21,0,0,0,0,0,0,1,2,0,0,0,0
23,21,0,0,0,0,0,0,1,0,0,0,0,0
24,23,0,0,0,0,0,0,2,2,0,0,0,0
25,22,0,0,0,0,0,1,0,1,0,0,0,0
26,25,0,0,0,0,0,1,2,2,0,0,0,0
27,22,0,0,0,0,0,1,2,1,0,0,0,0
28,23,0,0,0,0,0,0,1,0,0,0,0,0
29,23,0,0,0,0,0,0,2,1,0,0,0,0
30,22,0,0,0,0,0,0,2,2,0,0,0,0
31,21,0,0,0,0,0,0,0,1,0,0,0,0
32,19,0,0,0,0,0,1,1,0,0,0,0,0
33,21,0,0,0,0,0,0,1,0,0,0,0,0
34,19,0,0,0,0,0,1,0,1,0,0,0,0
35,22,0,0,0,0,0,0,0,0,0,0,0,0
36,18,0,0,0,0,0,0,0,1,0,0,0,0
37,17,0,0,0,0,0,0,0,0,0,0,0,0
38,18,0,0,0,0,0,1,0,0,0,0,0,0
39,19,0,0,0,0,0,0,0,1,0,0,0,0
40,18,0,0,0,0,0,0,0,0,0,0,0,0
41,17,0,0,0,0,0,0,0,1,0,0,0,0
42,15,0,0,0,0,0,0,0,0,0,0,0,0
43,19,0,0,0,0,0,0,0,0,0,0,0,0
44,16,0,0,0,0,0,0,0,1,0,0,0,0
45,15,0,0,0,0,0,0,0,0,0,0,0,0
46,16,0,0,0,0,0,1,0,0,0,0,0,0
47,14,0,0,0,0,0,0,0,1,0,0,0,0
48,15,0,0,0,0,0,0,0,0,0,0,0,0
49,14,0,0,0,0,0,0,0,1,0,0,0,0
50,14,0,0,0,0,0,0,0,0,0,0,0,0
51,12,0,0,0,0,0,0,0,0,0,0,0,0
52,14,0,0,0,0,0,0,0,0,0,0,0,0
53,14,0,0,0,0,0,0,0,0,0,0,0,0
54,12,0,0,0,0,0,0,0,0,0,0,0,0
55,13,0,0,0,0,0,0,0,0,0,0,0,0
56,12,0,0,0,0,0,0,1,0,0,0,0,0
57,12,0,0,0,0,0,1,0,0,0,0,0,0
58,13,0,0,0,0,0,0,0,0,0,0,0,0
59,13,0,0,0,0,0,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0,0,0,0,0,0
61,14,0,0,0,0,0,0,0,0,0,0,0,0
62,13,0,0,0,0,0,0,0,0,0,0,0,0
63,12,0,0,0,0,0,0,0,0,0,0,0,0
64,11,0,0,0,0,0,0,0,0,0,0,0,0
65,13,0,0,0,0,0,0,0,0,0,0,0,0
66,11,0,0,0,0,0,0,0,0,0,0,0,0
67,12,0,0,0,0,0,0,0,0,0,0,0,0
68,12,0,0,0,0,0,0,0,0,0,0,0,0
69,13,0,0,0,0,0,0,0,0,0,0,0,0
70,11,0,0,0,0,0,1,0,0,0,0,0,0
71,10,0,0,0,0,0,0,0,0,0,0,0,0
72,11,0,0,0,0,0,0,0,0,0,0,0,0
73,11,0,0,0,0,0,0,0,0,0,0,0,0
74,11,0,0,0,0,0,0,0,0,0,0,0,0
75,13,0,0,0,0,0,0,0,0,0,0,0,0
