PARTKEY,RETAILPRICE,P_NAME,S_NAME,N_NAME,MFGR,BRAND,TYPE,SIZE,CONTAINER
42,942.04,goldenrod lavender spring chocolate lace,Supplier#000000042,UNITED STATES,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG
43,943.04,blush thistle blue yellow saddle,Supplier#000000043,CANADA,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE
44,944.04,spring green yellow purple cornsilk,Supplier#000000044,GERMANY,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE
45,945.04,cornflower chocolate smoke green pink,Supplier#000000045,MEXICO,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM
46,946.04,forest brown coral puff cream,Supplier#000000046,UNITED KINGDOM,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG
47,947.04,bisque cornflower lawn forest magenta,Supplier#000000047,FRANCE,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG
48,948.04,moccasin green thistle khaki floral,Supplier#000000048,GERMANY,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG
49,949.04,misty lace thistle snow royal,Supplier#000000049,UNITED KINGDOM,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM
50,950.05,thistle dim navajo dark gainsboro,Supplier#000000050,MEXICO,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE
51,951.05,linen pink saddle puff powder,Supplier#000000051,MEXICO,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN
52,952.05,spring maroon seashell almond orchid,Supplier#000000052,CANADA,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX
53,953.05,cornflower wheat orange maroon ghost,Supplier#000000053,GERMANY,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE
54,954.05,ghost olive orange rosy thistle,Supplier#000000054,GERMANY,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK
55,955.05,khaki seashell rose cornsilk navajo,Supplier#000000055,GERMANY,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX
56,956.05,blanched honeydew sky turquoise medium,Supplier#000000056,UNITED KINGDOM,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE
57,957.05,deep sky turquoise drab peach,Supplier#000000057,MEXICO,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK
58,958.05,indian navy coral pink deep,Supplier#000000058,GERMANY,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX
59,959.05,turquoise indian lemon lavender misty,Supplier#000000059,GERMANY,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK
60,960.06,chocolate navy tan deep brown,Supplier#000000060,UNITED KINGDOM,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX
