Study Area ID, Date & Time Stamp, Weather Condition, Temperature (°C), Relative Humidity (%), Atmospheric Pressure (hPa), Wind Speed (m/s), Precipitation (mm), Solar Radiation (W/m²), Soil Moisture (%)
1, 2022-03-01 06:00:00, Cloudy,10,80,1013,2,0.0,200.0, 45
2, 2022-03-01 12:00:00, Rainy,12,85,1009,5,5.2,100.0, 48
3, 2022-03-01 18:00:00, Partly Cloudy,8,75,1015,7,0.0,300.0, 42
4, 2022-03-02 00:00:00, Clear,2,60,1020,10,0.0,500.0, 35
5, 2022-03-02 06:00:00, Foggy,3,95,1018,1,0.0,80.0, 38
6, 2022-03-02 12:00:00, Sunny,15,40,1005,6,8.0,0.0, 600
7, 2022-03-02 18:00:00, Thunderstorm,18,55,998,12,1.5,2.5, 550
8, 2022-03-03 00:00:00, Snowy,-2,80,1012,5,15.0,20.0, 30
9, 2022-03-03 06:00:00, Windy,5,70,1010,20,0.0,0.0, 150
10, 2022-03-03 12:00:00, Hail,7,65,1017,15,0.8,0.0, 250
11, 2022-03-03 18:00:00, Rainy,12,50,1013,10,5.0,50.0, 20
12, 2022-03-04 00:00:00, Clear,-5,40,1015,2,0.0,200.0, 35
13, 2022-03-04 06:00:00, Foggy,0,95,1014,3,0.0,5.0, 100
14, 2022-03-04 12:00:00, Cloudy,4,85,1016,8,0.0,10.0, 150
15, 2022-03-04 18:00:00, Sunny,10,45,1018,12,0.0,0.0, 300
16, 2022-03-05 00:00:00, Light Rain,6,60,1017,4,2.0,8.0, 10
17, 2022-03-05 06:00:00, Partly Cloudy,8,70,1019,7,0.0,0.0, 200
18, 2022-03-05 12:00:00, Thunderstorm,15,55,1013,18,0.0,15.0, 50
19, 2022-03-05 18:00:00, Showers,11,60,1014,9,0.0,7.0, 100
20, 2022-03-06 00:00:00, Heavy Rain,13,80,1012,6,0.0,25.0, 20
21, 2022-03-06 06:00:00, Light Rain,12,85,1011,5,5.0,12.0, 22
22, 2022-03-06 12:00:00, Partly Cloudy,14,60,1013,12,0.0,0.0, 500
23, 2022-03-06 18:00:00, Clear Skies,16,40,1014,20,0.0,0.0, 800
24, 2022-03-07 00:00:00, Heavy Snow,-2,90,1012,8,0.0,10.0, 10
25, 2022-03-07 06:00:00, Sleet,0,95,1011,10,2.0,8.0, 15
26, 2022-03-07 12:00:00, Freezing Rain,1,100,1013,7,0.0,5.0, 5
27, 2022-03-07 18:00:00, Overcast,3,80,1014,4,0.0,0.0, 300
28, 2022-03-08 00:00:00, Drizzle,2,85,1012,6,0.0,1.0, 20
29, 2022-03-08 06:00:00, Fog,4,90,1011,3,0.0,0.0, 0
30, 2022-03-08 12:00:00, Hail,0,70,1013,15,0.0,0.0, 0
31, 2022-03-08 18:00:00, Clear,7,50,1014,8,0.0,200.0, 15
32, 2022-03-09 00:00:00, Light Rain,5,80,1011,4,1.0,5.0, 22
33, 2022-03-09 06:00:00, Overcast,8,95,1012,2,0.0,0.0, 5
34, 2022-03-09 12:00:00, Thunderstorm,12,60,1009,12,5.0,0.0, 0
35, 2022-03-09 18:00:00, Heavy Rain,15,75,1008,9,10.0,25.0, 18
36, 2022-03-10 00:00:00, Light Snow,-1,88,1013,3,0.0,0.0, 2
37, 2022-03-10 06:00:00, Sleet,-2,90,1015,5,0.0,1.0, 0
38, 2022-03-10 12:00:00, Partly Cloudy,3,65,1017,7,0.0,0.0, 150
39, 2022-03-10 18:00:00, Cloudy,5,55,1016,3,0.0,0.0, 5
40, 2022-03-11 00:00:00, Freezing Drizzle,-3,80,1020,4,0.0,0.0, 0
41, 2022-03-11 06:00:00, Light Rain,2,85,1019,2,1.0,0.0, 150
42, 2022-03-11 12:00:00, Overcast,4,70,1018,5,0.0,0.0, 0
43, 2022-03-11 18:00:00, Clear,8,30,1015,8,0.0,0.0, 300
44, 2022-03-12 00:00:00, Partly Cloudy,6,50,1016,3,0.0,0.0, 50
45, 2022-03-12 06:00:00, Heavy Rain,12,90,1013,12,5.0,20.0, 200
46, 2022-03-12 12:00:00, Thunderstorm,15,75,1011,15,7.0,0.0, 100
47, 2022-03-12 18:00:00, Light Snow,-1,60,1015,6,1.0,0.0, 0
48, 2022-03-13 00:00:00, Sleet,-3,70,1017,8,2.0,0.0, 0
49, 2022-03-13 06:00:00, Freezing Fog,-5,95,1020,2,0.0,0.0, 0
50, 2022-03-13 12:00:00, Rain Shower,10,80,1015,10,3.0,1.0, 100
51, 2022-03-13 18:00:00, Partly Cloudy,8,60,1013,5,0.0,200.0, 80
52, 2022-03-14 00:00:00, Light Snow,-2,85,1018,7,1.0,0.0, 0
53, 2022-03-14 06:00:00, Overcast,-1,90,1015,3,0.0,0.0, 50
54, 2022-03-14 12:00:00, Heavy Rain,5,80,1010,12,5.0,20.0, 50
55, 2022-03-14 18:00:00, Clear Skies,12,40,1008,6,0.0,0.0, 250
56, 2022-03-15 00:00:00, Sleet,8,75,1012,9,3.0,2.0, 0
57, 2022-03-15 06:00:00, Freezing Fog,5,90,1015,2,0.0,0.0, 0
58, 2022-03-15 12:00:00, Rain Shower,13,70,1010,11,4.0,1.0, 100
59, 2022-03-15 18:00:00, Partly Cloudy,15,55,1005,7,5.0,200.0, 70
60, 2022-03-16 00:00:00, Light Snow,10,80,1010,8,2.0,1.0, 0
61, 2022-03-16 06:00:00, Clear Skies,8,60,1015,6,0.0,300.0, 65
62, 2022-03-16 12:00:00, Heavy Rain,12,90,995,15,15.0,30.0, 90
63, 2022-03-16 18:00:00, Thunderstorm,14,75,1000,10,25.0,5.0, 85
64, 2022-03-17 00:00:00, Light Rain,11,85,1005,5,12.0,2.0, 80
65, 2022-03-17 06:00:00, Partly Cloudy,13,65,1012,4,8.0,250.0, 75
66, 2022-03-17 12:00:00, Rain Shower,16,50,998,12,14.0,7.0, 88
67, 2022-03-17 18:00:00, Heavy Snow,2,95,1015,7,5.0,0.0, 92
68, 2022-03-18 00:00:00, Clear Skies,-1,40,1020,3,6.0,350.0, 70
69, 2022-03-18 06:00:00, Light Rain,5,70,1010,9,10.0,10.0, 75
70, 2022-03-18 12:00:00, Partly Cloudy,10,60,1005,8,5.0,200.0, 60
71, 2022-03-18 18:00:00, Heavy Rain,12,80,998,12,25.0,5.0, 78
72, 2022-03-19 00:00:00, Clear Skies,-2,35,1019,4,6.0,3.0, 360
73, 2022-03-19 06:00:00, Light Rain,3,60,1015,7,11.0,8.0, 72
74, 2022-03-19 12:00:00, Partly Cloudy,8,55,1010,6,4.0,180.0, 65
75, 2022-03-19 18:00:00, Heavy Rain,14,85,1002,15,28.0,2.0, 70
76, 2022-03-20 00:00:00, Clear Skies,-5,25,1025,2,7.0,4.0, 380
77, 2022-03-20 06:00:00, Light Rain,0,50,1020,5,9.0,9.0, 76
78, 2022-03-20 12:00:00, Partly Cloudy,7,45,1015,7,3.0,170.0, 68
79, 2022-03-20 18:00:00, Heavy Rain,15,90,1008,18,30.0,0.0, 74
80, 2022-03-21 00:00:00, Clear Skies,-8,15,1030,1,8.0,5.0, 390
81, 2022-03-21 06:00:00, Light Rain,2,75,1012,9,12.0,250.0, 72
82, 2022-03-21 12:00:00, Partly Cloudy,10,50,1015,11,2.0,0.0, 280
83, 2022-03-21 18:01:00, Clear Skies,13,30,1020,15,23.0,0.0, 550
84, 2022-03-22 00:00:00, Heavy Rain,10,85,1010,18,28.0,25.0, 140
85, 2022-03-22 06:00:00, Light Rain,7,65,1015,12,10.0,12.0, 255
86, 2022-03-22 12:00:00, Partly Cloudy,12,50,1018,15,5.0,0.0, 420
87, 2022-03-22 18:00:00, Clear Skies,16,35,1022,20,25.0,0.0, 630
88, 2022-03-23 00:00:00, Heavy Rain,15,80,1015,18,28.0,33.0, 210
89, 2022-03-23 06:00:00, Light Rain,12,70,1020,14,11.0,15.0, 305
